key,0
#,Name
offset,0
int32,str
0,無效分類
1,重生之境主線任務
2,第七星曆主線任務
3,蒼穹之禁城主線任務
4,龍詩戰爭終章主線任務
5,龍詩戰爭尾聲主線任務
6,紅蓮之狂潮主線任務
7,解放戰爭戰後主線任務
8,暗影之逆焰主線任務
9,拂曉回歸主線任務
10,末日序曲主線任務
11,曉月之終途主線任務
12,嶄新的冒險主線任務
13,第七星曆編年史：蠻神
14,第七星曆編年史：巴哈姆特
15,第七星曆編年史：水晶塔
16,第七星曆編年史：亞歷山大
17,第七星曆編年史：上古眾神
18,第七星曆編年史：瑪哈之影
19,第七星曆編年史：歐米茄
20,第七星曆編年史：重返伊瓦利斯
21,第七星曆編年史：四聖獸奇譚
22,第七星曆編年史：伊甸
23,寄葉異聞：暗黑天啟
24,第七星曆編年史：維爾利特戰役
25,第七星曆編年史：萬魔殿
26,第七星曆編年史：艾歐澤亞神話
27,
28,奧密克戎族任務
29,悌陽象族任務
30,蜥蜴人族任務
31,妖精族任務
32,地靈族任務
33,魚人族任務
34,鳥人族任務
35,瓦努族任務
36,骨頜族任務
37,莫古力族任務
38,甲人族任務
39,阿難陀族任務
40,鯰魚精族任務
41,仙子族任務
42,奇塔利族任務
43,矮人族任務
44,
45,
46,
47,
48,
49,
50,拉諾西亞支線任務
51,黑衣森林支線任務
52,薩納蘭支線任務
53,庫爾札斯支線任務
54,摩杜納支線任務
55,伊修加德支線任務
56,阿巴拉提亞支線任務
57,龍堡支線任務
58,魔大陸支線任務
59,基拉巴尼亞支線任務
60,奧薩德支線任務
61,遠東之國支線任務
62,雷克蘭德支線任務
63,珂露西亞島支線任務
64,安穆·艾蘭支線任務
65,伊爾美格支線任務
66,拉凱提卡大森林支線任務
67,黑風海支線任務
68,薩雷安支線任務
69,薩維奈島支線任務
70,加雷馬支線任務
71,嘆息海支線任務
72,厄爾庇斯支線任務
73,天外天垓支線任務
74,戰鬥菁英職業任務
75,魔法導師職業任務
76,能工巧匠職業任務
77,大地使者職業任務
78,中庸工藝館交易職業任務
79,薩雷安魔法大學交易職業任務
80,戰鬥菁英特職任務
81,魔法導師特職任務
82,職能任務
83,軍隊任務
84,季節活動
85,其他任務
86,傭兵理符
87,採礦理符
88,園藝理符
89,釣魚理符
90,木工理符
91,鍛冶理符
92,鑄甲理符
93,雕金理符
94,製革理符
95,裁縫理符
96,煉金理符
97,烹調理符
98,神殿騎士團傭兵理符
99,神殿騎士團採礦理符
100,神殿騎士團園藝理符
101,神殿騎士團釣魚理符
102,神殿騎士團木工理符
103,神殿騎士團鍛冶理符
104,神殿騎士團鑄甲理符
105,神殿騎士團雕金理符
106,神殿騎士團製革理符
107,神殿騎士團裁縫理符
108,神殿騎士團煉金理符
109,神殿騎士團烹調理符
110,特殊部隊理符
111,軍隊理符
112,迷宮挑戰
113,大型任務
114,討伐殲滅戰
115,其他任務
116,遺產任務
